year,to_country_id,to_country,performer,song,place_contest,sf_num,running_final,running_sf,place_final,points_final,place_sf,points_sf,points_tele_final,points_jury_final,points_tele_sf,points_jury_sf,composers,lyricists,lyrics,youtube_url
2025,si,Slovenia,Klemen,How Much Time Do We Have Left,,,,,,,,,,,,,,,,
2025,se,Sweden,,–,,,,,,,,,,,,,,,,
2025,ua,Ukraine,Ziferblat,Bird of Pray,,,,,,,,,,,,,,,,
2025,al,Albania,Shkodra Elektronike,Zjerm,,,,,,,,,,,,,,,,
2025,az,Azerbaijan,Mamagama,Run With U,,,,,,,,,,,,,,,,
2025,be,Belgium,Red Sebastian,Strobe Lights,,,,,,,,,,,,,,,,
2025,hr,Croatia,Marko Bošnjak,Poison Cake,,,,,,,,,,,,,,,,
2025,cy,Cyprus,Theo Evan,–,,,,,,,,,,,,,,,,
2025,nl,Netherlands,Claude,C'est La Vie,,,,,,,,,,,,,,,,
2025,no,Norway,Kyle Alessandro,Lighter,,,,,,,,,,,,,,,,
2025,sm,San Marino,,–,,,,,,,,,,,,,,,,
